,Unnamed: 0,accession_number,year,r,g,b,hex,value
1305,1305,D12484,1816,23,23,22,#171716,270
1327,1327,D12506,1816,23,23,22,#171716,285
1328,1328,D12507,1816,23,23,22,#171716,300
1332,1332,D12511,1816,23,23,22,#171716,315
1284,1284,D12463,1816,23,23,23,#171717,330
1286,1286,D12465,1816,23,23,23,#171717,345
1347,1347,D12526,1816,23,23,23,#171717,360
4437,4437,D40582,1816,23,23,23,#171717,375
1343,1343,D12522,1816,23,24,22,#171816,390
1273,1273,D12452,1816,23,24,23,#171817,405
1277,1277,D12456,1816,23,24,23,#171817,420
1345,1345,D12524,1816,23,24,23,#171817,435
1313,1313,D12492,1816,24,23,22,#181716,450
1304,1304,D12483,1816,24,24,22,#181816,465
1312,1312,D12491,1816,24,24,22,#181816,480
1344,1344,D12523,1816,24,24,22,#181816,495
1346,1346,D12525,1816,24,24,22,#181816,510
1281,1281,D12460,1816,24,24,23,#181817,525
1282,1282,D12461,1816,24,24,23,#181817,540
1283,1283,D12462,1816,24,24,23,#181817,555
1287,1287,D12466,1816,24,24,23,#181817,570
1307,1307,D12486,1816,24,24,23,#181817,585
1335,1335,D12514,1816,24,24,23,#181817,600
1272,1272,D12451,1816,24,25,23,#181917,615
1274,1274,D12453,1816,24,25,23,#181917,630
1336,1336,D12515,1816,24,25,23,#181917,645
1334,1334,D12513,1816,24,25,24,#181918,660
1339,1339,D12518,1816,24,25,24,#181918,675
1341,1341,D12520,1816,24,25,24,#181918,690
1342,1342,D12521,1816,25,24,22,#191816,705
1275,1275,D12454,1816,25,25,23,#191917,720
1330,1330,D12509,1816,25,25,23,#191917,735
1337,1337,D12516,1816,25,25,23,#191917,750
1338,1338,D12517,1816,25,25,23,#191917,765
1276,1276,D12455,1816,25,25,24,#191918,780
1306,1306,D12485,1816,25,25,24,#191918,795
1340,1340,D12519,1816,25,25,24,#191918,810
1278,1278,D12457,1816,25,26,24,#191a18,825
1326,1326,D12505,1816,25,26,24,#191a18,840
1316,1316,D12495,1816,25,26,25,#191a19,855
1318,1318,D12497,1816,25,26,25,#191a19,870
1319,1319,D12498,1816,25,26,25,#191a19,885
1320,1320,D12499,1816,25,26,26,#191a1a,900
1315,1315,D12494,1816,26,25,24,#1a1918,915
1317,1317,D12496,1816,26,27,26,#1a1b1a,930
1324,1324,D12503,1816,26,27,26,#1a1b1a,945
1321,1321,D12500,1816,27,27,24,#1b1b18,960
1209,1209,D08172,1816,128,96,65,#806041,975
1322,1322,D12501,1816,142,137,122,#8e897a,990
1264,1264,D09052,1816,175,160,122,#afa07a,1005
2502,2502,D25255,1816,183,156,107,#b79c6b,1020
1210,1210,D08173,1816,186,149,109,#ba956d,1035
1311,1311,D12490,1816,188,173,138,#bcad8a,1050
1331,1331,D12510,1816,191,183,166,#bfb7a6,1065
1314,1314,D12493,1816,192,184,159,#c0b89f,1080
1301,1301,D12480,1816,193,191,176,#c1bfb0,1095
1293,1293,D12472,1816,194,192,177,#c2c0b1,1110
1329,1329,D12508,1816,197,189,170,#c5bdaa,1125
1489,1489,D16976,1816,200,185,158,#c8b99e,1140
1333,1333,D12512,1816,200,193,174,#c8c1ae,1155
1302,1302,D12481,1816,201,194,178,#c9c2b2,1170
1300,1300,D12479,1816,206,202,187,#cecabb,1185
1664,1664,D17198,1816,208,201,176,#d0c9b0,1200
5806,5806,T08463,1816,210,197,169,#d2c5a9,1215
1670,1670,D17205,1816,213,208,184,#d5d0b8,1230
1484,1484,D16971,1816,219,206,182,#dbceb6,1245
1279,1279,D12458,1816,225,217,197,#e1d9c5,1260
1483,1483,D16970,1816,226,210,191,#e2d2bf,1275
1325,1325,D12504,1816,226,218,194,#e2dac2,1290
1499,1499,D16986,1816,229,214,193,#e5d6c1,1305
1498,1498,D16985,1816,230,215,193,#e6d7c1,1320
1495,1495,D16982,1816,233,218,199,#e9dac7,1335
1598,1598,D17103,1817,24,23,25,#181719,15
1600,1600,D17105,1817,26,24,27,#1a181b,30
1599,1599,D17104,1817,27,25,28,#1b191c,45
1501,1501,D16988,1817,28,26,29,#1c1a1d,60
1627,1627,D17146,1817,46,42,42,#2e2a2a,75
1203,1203,D08166,1817,75,48,30,#4b301e,90
1638,1638,D17172,1817,136,131,114,#888372,105
2494,2494,D25247,1817,164,150,118,#a49676,120
5990,5990,T08761,1817,172,162,133,#aca285,135
1106,1106,D04901,1817,185,183,160,#b9b7a0,150
5456,5456,T04368,1817,195,163,115,#c3a373,165
1653,1653,D17187,1817,196,183,150,#c4b796,180
1657,1657,D17191,1817,204,185,153,#ccb999,195
1140,1140,D08100,1817,205,177,137,#cdb189,210
1652,1652,D17186,1817,210,207,187,#d2cfbb,225
1671,1671,D17206,1817,216,211,190,#d8d3be,240
1532,1532,D17021,1817,224,208,186,#e0d0ba,255
1530,1530,D17019,1817,225,209,191,#e1d1bf,270
1524,1524,D17013,1817,225,209,192,#e1d1c0,285
1503,1503,D16991,1817,225,212,188,#e1d4bc,300
1527,1527,D17016,1817,225,212,195,#e1d4c3,315
1525,1525,D17014,1817,226,210,193,#e2d2c1,330
1502,1502,D16989,1817,227,211,189,#e3d3bd,345
1523,1523,D17012,1817,227,212,195,#e3d4c3,360
1506,1506,D16994,1817,227,214,190,#e3d6be,375
1522,1522,D17011,1817,227,214,199,#e3d6c7,390
1521,1521,D17010,1817,227,215,198,#e3d7c6,405
1512,1512,D17000,1817,228,212,187,#e4d4bb,420
1505,1505,D16993,1817,228,213,188,#e4d5bc,435
1514,1514,D17002,1817,228,213,193,#e4d5c1,450
1513,1513,D17001,1817,228,214,189,#e4d6bd,465
1528,1528,D17017,1817,228,214,189,#e4d6bd,480
1526,1526,D17015,1817,228,215,199,#e4d7c7,495
1504,1504,D16992,1817,228,216,197,#e4d8c5,510
1486,1486,D16973,1817,229,212,190,#e5d4be,525
1510,1510,D16998,1817,229,215,188,#e5d7bc,540
1517,1517,D17005,1817,229,215,189,#e5d7bd,555
1511,1511,D16999,1817,229,215,191,#e5d7bf,570
1529,1529,D17018,1817,229,215,191,#e5d7bf,585
1515,1515,D17003,1817,229,222,206,#e5dece,600
1520,1520,D17008,1817,230,217,201,#e6d9c9,615
1490,1490,D16977,1817,231,215,194,#e7d7c2,630
1516,1516,D17004,1817,231,216,191,#e7d8bf,645
1507,1507,D16995,1817,231,216,192,#e7d8c0,660
1509,1509,D16997,1817,231,216,192,#e7d8c0,675
1602,1602,D17107,1817,231,216,197,#e7d8c5,690
1601,1601,D17106,1817,231,218,203,#e7dacb,705
1518,1518,D17006,1817,234,218,195,#eadac3,720
1508,1508,D16996,1817,234,224,208,#eae0d0,735
1519,1519,D17007,1817,235,225,209,#ebe1d1,750
1308,1308,D12487,1818,23,23,22,#171716,15
1213,1213,D08176,1818,141,96,60,#8d603c,30
6375,6375,T09459,1818,156,134,107,#9c866b,45
1644,1644,D17178,1818,161,149,126,#a1957e,60
1323,1323,D12502,1818,186,156,127,#ba9c7f,75
1351,1351,D13818,1818,193,172,139,#c1ac8b,90
4669,4669,N03328,1818,193,187,166,#c1bba6,105
1310,1310,D12489,1818,200,190,164,#c8bea4,120
4668,4668,N03327,1818,204,194,172,#ccc2ac,135
1667,1667,D17201,1818,206,199,176,#cec7b0,150
1208,1208,D08171,1818,211,183,147,#d3b793,165
3199,3199,D32144,1818,217,207,176,#d9cfb0,180
4670,4670,N03329,1818,217,207,185,#d9cfb9,195
1211,1211,D08174,1818,221,205,178,#ddcdb2,210
4672,4672,N03331,1818,222,215,196,#ded7c4,225
6559,6559,T09860,1818,225,213,192,#e1d5c0,240
1488,1488,D16975,1818,227,210,186,#e3d2ba,255
1487,1487,D16974,1818,231,213,191,#e7d5bf,270
1350,1350,D13750,1818,231,220,192,#e7dcc0,285
1494,1494,D16981,1818,233,216,195,#e9d8c3,300
2466,2466,D25219,1818,233,227,210,#e9e3d2,315
1414,1414,D16401,1819,25,26,23,#191a17,15
1448,1448,D16449,1819,30,30,29,#1e1e1d,30
1431,1431,D16424,1819,32,31,29,#201f1d,45
1417,1417,D16405,1819,33,33,31,#21211f,60
1454,1454,D16456,1819,34,33,31,#22211f,75
1455,1455,D16457,1819,34,33,31,#22211f,90
1426,1426,D16419,1819,34,34,32,#222220,105
1464,1464,D16467,1819,34,34,32,#222220,120
1457,1457,D16459,1819,35,34,32,#232220,135
1459,1459,D16462,1819,35,34,32,#232220,150
1413,1413,D16400,1819,36,33,30,#24211e,165
1430,1430,D16423,1819,36,34,32,#242220,180
1441,1441,D16440,1819,36,35,32,#242320,195
1470,1470,D16473,1819,37,35,33,#252321,210
1425,1425,D16418,1819,37,36,33,#252421,225
1465,1465,D16468,1819,37,36,33,#252421,240
1442,1442,D16441,1819,39,37,33,#272521,255
1435,1435,D16431,1819,39,38,35,#272623,270
1447,1447,D16448,1819,40,39,35,#282723,285
1476,1476,D16479,1819,40,39,35,#282723,300
1469,1469,D16472,1819,40,39,36,#282724,315
4438,4438,D40584,1819,40,39,36,#282724,330
4435,4435,D40577,1819,41,39,36,#292724,345
1478,1478,D16481,1819,60,53,43,#3c352b,360
6938,6938,T11035,1819,77,69,54,#4d4536,375
1405,1405,D16375,1819,90,84,67,#5a5443,390
6949,6949,T11057,1819,100,91,72,#645b48,405
6963,6963,T11073,1819,102,91,68,#665b44,420
1401,1401,D16367,1819,102,100,89,#666459,435
1397,1397,D16363,1819,113,105,88,#716958,450
1366,1366,D16116,1819,115,113,80,#737150,465
1381,1381,D16339,1819,116,110,95,#746e5f,480
1400,1400,D16366,1819,116,115,102,#747366,495
1399,1399,D16365,1819,139,108,76,#8b6c4c,510
1396,1396,D16356,1819,142,126,100,#8e7e64,525
1375,1375,D16329,1819,144,143,122,#908f7a,540
2627,2627,D25382,1819,149,149,119,#959577,555
1377,1377,D16332,1819,150,133,103,#968567,570
1393,1393,D16353,1819,150,142,124,#968e7c,585
4671,4671,N03330,1819,155,137,109,#9b896d,600
1473,1473,D16476,1819,156,150,139,#9c968b,615
1411,1411,D16398,1819,157,146,118,#9d9276,630
1432,1432,D16426,1819,158,151,134,#9e9786,645
1475,1475,D16478,1819,158,151,140,#9e978c,660
1419,1419,D16408,1819,160,153,135,#a09987,675
1479,1479,D16482,1819,161,154,130,#a19a82,690
1403,1403,D16369,1819,162,142,113,#a28e71,705
1429,1429,D16422,1819,163,156,141,#a39c8d,720
5492,5492,T05716,1819,165,151,90,#a5975a,735
1410,1410,D16397,1819,166,143,115,#a68f73,750
1355,1355,D15253,1819,167,160,136,#a7a088,765
1398,1398,D16364,1819,168,157,137,#a89d89,780
1450,1450,D16451,1819,170,162,144,#aaa290,795
1423,1423,D16416,1819,170,164,147,#aaa493,810
1439,1439,D16437,1819,170,165,152,#aaa598,825
1388,1388,D16347,1819,170,166,146,#aaa692,840
1359,1359,D15258,1819,170,188,179,#aabcb3,855
1445,1445,D16446,1819,171,165,149,#aba595,870
1452,1452,D16454,1819,172,165,149,#aca595,885
1449,1449,D16450,1819,172,166,152,#aca698,900
1466,1466,D16469,1819,172,169,141,#aca98d,915
1477,1477,D16480,1819,173,166,149,#ada695,930
1472,1472,D16475,1819,173,168,155,#ada89b,945
1395,1395,D16355,1819,173,170,158,#adaa9e,960
1446,1446,D16447,1819,174,167,150,#aea796,975
1460,1460,D16463,1819,174,167,151,#aea797,990
1406,1406,D16376,1819,176,164,144,#b0a490,1005
1404,1404,D16372,1819,176,166,147,#b0a693,1020
1481,1481,D16484,1819,176,169,152,#b0a998,1035
1438,1438,D16436,1819,176,170,153,#b0aa99,1050
1407,1407,D16381,1819,177,166,145,#b1a691,1065
1424,1424,D16417,1819,177,171,154,#b1ab9a,1080
1416,1416,D16404,1819,178,171,154,#b2ab9a,1095
1376,1376,D16331,1819,179,172,151,#b3ac97,1110
1436,1436,D16432,1819,179,172,156,#b3ac9c,1125
1456,1456,D16458,1819,179,173,155,#b3ad9b,1140
1382,1382,D16341,1819,180,172,151,#b4ac97,1155
1443,1443,D16442,1819,180,174,157,#b4ae9d,1170
1468,1468,D16471,1819,180,176,160,#b4b0a0,1185
1394,1394,D16354,1819,181,166,147,#b5a693,1200
1384,1384,D16343,1819,181,167,146,#b5a792,1215
1421,1421,D16412,1819,181,174,156,#b5ae9c,1230
1453,1453,D16455,1819,181,174,158,#b5ae9e,1245
1471,1471,D16474,1819,181,174,159,#b5ae9f,1260
1402,1402,D16368,1819,182,163,132,#b6a384,1275
1480,1480,D16483,1819,182,171,146,#b6ab92,1290
1415,1415,D16402,1819,182,173,153,#b6ad99,1305
1462,1462,D16465,1819,183,176,158,#b7b09e,1320
1427,1427,D16420,1819,183,177,159,#b7b19f,1335
1467,1467,D16470,1819,184,178,164,#b8b2a4,1350
1391,1391,D16351,1819,185,172,146,#b9ac92,1365
1482,1482,D16485,1819,185,177,158,#b9b19e,1380
1451,1451,D16453,1819,185,177,159,#b9b19f,1395
1385,1385,D16344,1819,186,172,152,#baac98,1410
1420,1420,D16410,1819,186,180,164,#bab4a4,1425
1433,1433,D16428,1819,186,180,167,#bab4a7,1440
1383,1383,D16342,1819,187,179,160,#bbb3a0,1455
1378,1378,D16336,1819,187,180,157,#bbb49d,1470
1458,1458,D16461,1819,187,180,161,#bbb4a1,1485
1390,1390,D16350,1819,188,174,151,#bcae97,1500
1373,1373,D16133,1819,188,186,161,#bcbaa1,1515
1392,1392,D16352,1819,189,175,156,#bdaf9c,1530
1380,1380,D16338,1819,189,180,155,#bdb49b,1545
1387,1387,D16346,1819,190,178,154,#beb29a,1560
1374,1374,D16327,1819,190,184,164,#beb8a4,1575
1428,1428,D16421,1819,190,184,168,#beb8a8,1590
4436,4436,D40578,1819,191,180,154,#bfb49a,1605
1437,1437,D16434,1819,191,186,174,#bfbaae,1620
1461,1461,D16464,1819,192,187,173,#c0bbad,1635
1372,1372,D16131,1819,192,197,170,#c0c5aa,1650
1408,1408,D16395,1819,193,174,141,#c1ae8d,1665
1463,1463,D16466,1819,193,187,170,#c1bbaa,1680
1440,1440,D16438,1819,193,189,176,#c1bdb0,1695
1369,1369,D16123,1819,194,185,152,#c2b998,1710
1418,1418,D16406,1819,194,185,165,#c2b9a5,1725
1371,1371,D16130,1819,195,198,182,#c3c6b6,1740
1368,1368,D16122,1819,196,171,114,#c4ab72,1755
1422,1422,D16414,1819,196,190,174,#c4beae,1770
1444,1444,D16444,1819,198,192,173,#c6c0ad,1785
1474,1474,D16477,1819,202,197,184,#cac5b8,1800
5969,5969,T08729,1819,203,199,182,#cbc7b6,1815
1409,1409,D16396,1819,204,185,151,#ccb997,1830
1367,1367,D16120,1819,204,190,157,#ccbe9d,1845
2489,2489,D25242,1819,204,197,167,#ccc5a7,1860
1362,1362,D16093,1819,204,199,167,#ccc7a7,1875
6417,6417,T09517,1819,206,195,173,#cec3ad,1890
1353,1353,D15251,1819,208,204,186,#d0ccba,1905
1412,1412,D16399,1819,209,200,178,#d1c8b2,1920
1389,1389,D16348,1819,209,201,181,#d1c9b5,1935
1434,1434,D16430,1819,209,202,183,#d1cab7,1950
6961,6961,T11071,1819,212,204,179,#d4ccb3,1965
4335,4335,D40049,1819,212,205,190,#d4cdbe,1980
1363,1363,D16101,1819,212,212,189,#d4d4bd,1995
1364,1364,D16106,1819,212,217,202,#d4d9ca,2010
1354,1354,D15252,1819,213,201,173,#d5c9ad,2025
1386,1386,D16345,1819,213,207,189,#d5cfbd,2040
6946,6946,T11051,1819,213,214,198,#d5d6c6,2055
1365,1365,D16109,1819,213,215,199,#d5d7c7,2070
6951,6951,T11061,1819,214,207,181,#d6cfb5,2085
5352,5352,T03300,1819,215,206,181,#d7ceb5,2100
6959,6959,T11069,1819,215,207,182,#d7cfb6,2115
6945,6945,T11049,1819,215,208,183,#d7d0b7,2130
2550,2550,D25304,1819,215,212,194,#d7d4c2,2145
6947,6947,T11053,1819,216,209,185,#d8d1b9,2160
1379,1379,D16337,1819,216,210,191,#d8d2bf,2175
6935,6935,T11029,1819,216,212,193,#d8d4c1,2190
4336,4336,D40050,1819,217,205,181,#d9cdb5,2205
1370,1370,D16129,1819,217,212,189,#d9d4bd,2220
6960,6960,T11070,1819,217,212,191,#d9d4bf,2235
6957,6957,T11067,1819,218,212,191,#dad4bf,2250
6934,6934,T11027,1819,218,215,197,#dad7c5,2265
6939,6939,T11037,1819,219,212,189,#dbd4bd,2280
6950,6950,T11059,1819,219,213,189,#dbd5bd,2295
6956,6956,T11066,1819,219,214,196,#dbd6c4,2310
6962,6962,T11072,1819,219,215,196,#dbd7c4,2325
6943,6943,T11045,1819,220,215,193,#dcd7c1,2340
1358,1358,D15256,1819,220,218,202,#dcdaca,2355
6958,6958,T11068,1819,221,215,194,#ddd7c2,2370
6931,6931,T11021,1819,221,215,195,#ddd7c3,2385
6936,6936,T11031,1819,221,215,196,#ddd7c4,2400
6952,6952,T11062,1819,222,213,191,#ded5bf,2415
6964,6964,T11074,1819,222,214,189,#ded6bd,2430
1356,1356,D15254,1819,222,215,190,#ded7be,2445
6954,6954,T11064,1819,223,218,195,#dfdac3,2460
6955,6955,T11065,1819,223,219,199,#dfdbc7,2475
6944,6944,T11047,1819,224,220,200,#e0dcc8,2490
6953,6953,T11063,1819,224,220,200,#e0dcc8,2505
6932,6932,T11023,1819,225,216,191,#e1d8bf,2520
6942,6942,T11043,1819,225,219,197,#e1dbc5,2535
6940,6940,T11039,1819,225,220,200,#e1dcc8,2550
6941,6941,T11041,1819,226,219,199,#e2dbc7,2565
6937,6937,T11033,1819,227,221,203,#e3ddcb,2580
6948,6948,T11055,1819,227,224,205,#e3e0cd,2595
6933,6933,T11025,1819,228,218,195,#e4dac3,2610
1357,1357,D15255,1819,228,219,194,#e4dbc2,2625
6929,6929,T11017,1819,228,219,196,#e4dbc4,2640
6928,6928,T11015,1819,228,221,198,#e4ddc6,2655
6930,6930,T11019,1819,228,222,202,#e4deca,2670
1360,1360,D15262,1819,230,216,182,#e6d8b6,2685
1661,1661,D17195,1819,230,224,202,#e6e0ca,2700
1361,1361,D16089,1819,236,235,218,#ecebda,2715
1352,1352,D13826,1820,23,21,20,#171514,15
2674,2674,D25429,1820,84,75,63,#544b3f,30
1649,1649,D17183,1820,92,97,91,#5c615b,45
4523,4523,N02231,1820,96,85,78,#60554e,60
2719,2719,D25478,1820,119,104,65,#776841,75
1631,1631,D17165,1820,119,112,94,#77705e,90
2561,2561,D25315,1820,120,109,89,#786d59,105
2588,2588,D25343,1820,128,122,106,#807a6a,120
2700,2700,D25458,1820,138,123,97,#8a7b61,135
2697,2697,D25453,1820,143,98,72,#8f6248,150
2682,2682,D25437,1820,143,147,130,#8f9382,165
2694,2694,D25450,1820,153,143,115,#998f73,180
3927,3927,D36118,1820,158,135,102,#9e8766,195
2683,2683,D25438,1820,158,135,103,#9e8767,210
2551,2551,D25305,1820,158,161,142,#9ea18e,225
1645,1645,D17179,1820,163,144,103,#a39067,240
2394,2394,D25147,1820,166,158,121,#a69e79,255
2685,2685,D25440,1820,170,149,120,#aa9578,270
2411,2411,D25164,1820,171,150,116,#ab9674,285
2622,2622,D25377,1820,172,162,145,#aca291,300
2596,2596,D25351,1820,173,162,121,#ada279,315
2402,2402,D25155,1820,174,163,136,#aea388,330
5556,5556,T07881,1820,176,154,119,#b09a77,345
2646,2646,D25401,1820,176,164,135,#b0a487,360
1651,1651,D17185,1820,178,159,124,#b29f7c,375
2669,2669,D25424,1820,180,159,128,#b49f80,390
1665,1665,D17199,1820,183,173,145,#b7ad91,405
2647,2647,D25402,1820,184,166,134,#b8a686,420
2582,2582,D25337,1820,184,182,168,#b8b6a8,435
2728,2728,D25487,1820,186,176,157,#bab09d,450
2574,2574,D25329,1820,187,151,97,#bb9761,465
2404,2404,D25157,1820,187,171,149,#bbab95,480
1632,1632,D17166,1820,187,173,141,#bbad8d,495
2604,2604,D25359,1820,188,177,145,#bcb191,510
2673,2673,D25428,1820,188,178,154,#bcb29a,525
2504,2504,D25257,1820,189,168,130,#bda882,540
2496,2496,D25249,1820,189,175,140,#bdaf8c,555
2753,2753,D25513,1820,189,176,147,#bdb093,570
2608,2608,D25363,1820,191,181,153,#bfb599,585
2651,2651,D25406,1820,191,183,160,#bfb7a0,600
2665,2665,D25420,1820,191,184,156,#bfb89c,615
1648,1648,D17182,1820,191,187,161,#bfbba1,630
2525,2525,D25279,1820,192,170,132,#c0aa84,645
2580,2580,D25335,1820,192,172,140,#c0ac8c,660
2644,2644,D25399,1820,192,180,154,#c0b49a,675
2739,2739,D25498,1820,192,180,157,#c0b49d,690
2745,2745,D25505,1820,192,184,159,#c0b89f,705
2542,2542,D25296,1820,192,189,165,#c0bda5,720
2531,2531,D25285,1820,193,171,147,#c1ab93,735
2603,2603,D25358,1820,193,172,130,#c1ac82,750
2581,2581,D25336,1820,193,172,143,#c1ac8f,765
2724,2724,D25483,1820,193,181,149,#c1b595,780
2501,2501,D25254,1820,194,170,126,#c2aa7e,795
2511,2511,D25264,1820,194,176,143,#c2b08f,810
2546,2546,D25300,1820,194,180,137,#c2b489,825
2609,2609,D25364,1820,194,181,154,#c2b59a,840
2512,2512,D25265,1820,195,174,156,#c3ae9c,855
2625,2625,D25380,1820,195,177,139,#c3b18b,870
2733,2733,D25492,1820,195,181,152,#c3b598,885
1634,1634,D17168,1820,195,183,151,#c3b797,900
2384,2384,D25137,1820,195,183,167,#c3b7a7,915
2611,2611,D25366,1820,196,182,155,#c4b69b,930
2637,2637,D25392,1820,196,187,167,#c4bba7,945
2741,2741,D25501,1820,196,191,204,#c4bfcc,960
4098,4098,D36318,1820,196,192,176,#c4c0b0,975
2549,2549,D25303,1820,197,177,136,#c5b188,990
2510,2510,D25263,1820,197,186,157,#c5ba9d,1005
2483,2483,D25236,1820,198,185,153,#c6b999,1020
2578,2578,D25333,1820,198,186,158,#c6ba9e,1035
4097,4097,D36317,1820,198,199,188,#c6c7bc,1050
2693,2693,D25449,1820,199,179,145,#c7b391,1065
2736,2736,D25495,1820,199,181,151,#c7b597,1080
2678,2678,D25433,1820,199,181,158,#c7b59e,1095
2629,2629,D25384,1820,199,182,153,#c7b699,1110
2586,2586,D25341,1820,199,184,151,#c7b897,1125
2480,2480,D25233,1820,199,187,153,#c7bb99,1140
2636,2636,D25391,1820,200,184,151,#c8b897,1155
1641,1641,D17175,1820,200,184,159,#c8b89f,1170
2662,2662,D25417,1820,200,188,161,#c8bca1,1185
2686,2686,D25441,1820,200,189,165,#c8bda5,1200
2612,2612,D25367,1820,200,191,162,#c8bfa2,1215
2645,2645,D25400,1820,200,191,164,#c8bfa4,1230
1647,1647,D17181,1820,200,200,182,#c8c8b6,1245
2524,2524,D25278,1820,201,185,156,#c9b99c,1260
2744,2744,D25504,1820,201,187,155,#c9bb9b,1275
2482,2482,D25235,1820,201,191,173,#c9bfad,1290
2583,2583,D25338,1820,201,197,176,#c9c5b0,1305
2585,2585,D25340,1820,201,200,183,#c9c8b7,1320
2429,2429,D25182,1820,202,186,155,#caba9b,1335
2566,2566,D25321,1820,202,189,159,#cabd9f,1350
2509,2509,D25262,1820,202,202,196,#cacac4,1365
2555,2555,D25309,1820,203,182,157,#cbb69d,1380
2533,2533,D25287,1820,203,186,156,#cbba9c,1395
2750,2750,D25510,1820,203,187,154,#cbbb9a,1410
2748,2748,D25508,1820,203,199,179,#cbc7b3,1425
2484,2484,D25237,1820,203,200,185,#cbc8b9,1440
2690,2690,D25446,1820,204,178,137,#ccb289,1455
2514,2514,D25267,1820,204,186,154,#ccba9a,1470
2687,2687,D25442,1820,204,186,158,#ccba9e,1485
2545,2545,D25299,1820,204,187,153,#ccbb99,1500
4463,4463,D41468,1820,204,194,171,#ccc2ab,1515
2477,2477,D25230,1820,204,195,166,#ccc3a6,1530
2505,2505,D25258,1820,205,186,147,#cdba93,1545
2435,2435,D25188,1820,205,189,157,#cdbd9d,1560
2415,2415,D25168,1820,205,189,161,#cdbda1,1575
2722,2722,D25481,1820,205,190,158,#cdbe9e,1590
2448,2448,D25201,1820,205,191,157,#cdbf9d,1605
2633,2633,D25388,1820,205,193,168,#cdc1a8,1620
2491,2491,D25244,1820,205,197,175,#cdc5af,1635
2649,2649,D25404,1820,205,198,177,#cdc6b1,1650
2738,2738,D25497,1820,205,200,176,#cdc8b0,1665
2527,2527,D25281,1820,206,188,159,#cebc9f,1680
2518,2518,D25271,1820,206,189,162,#cebda2,1695
2414,2414,D25167,1820,206,190,160,#cebea0,1710
2455,2455,D25208,1820,206,192,163,#cec0a3,1725
6376,6376,T09460,1820,206,193,167,#cec1a7,1740
2548,2548,D25302,1820,206,193,171,#cec1ab,1755
2737,2737,D25496,1820,206,198,177,#cec6b1,1770
2425,2425,D25178,1820,207,188,153,#cfbc99,1785
2671,2671,D25426,1820,207,193,166,#cfc1a6,1800
2747,2747,D25507,1820,207,195,167,#cfc3a7,1815
2660,2660,D25415,1820,207,198,179,#cfc6b3,1830
2643,2643,D25398,1820,207,206,194,#cfcec2,1845
2520,2520,D25273,1820,208,187,156,#d0bb9c,1860
2470,2470,D25223,1820,208,187,161,#d0bba1,1875
2387,2387,D25140,1820,208,193,175,#d0c1af,1890
2420,2420,D25173,1820,209,190,165,#d1bea5,1905
2453,2453,D25206,1820,209,193,166,#d1c1a6,1920
2541,2541,D25295,1820,209,194,167,#d1c2a7,1935
2508,2508,D25261,1820,209,195,170,#d1c3aa,1950
2590,2590,D25345,1820,209,196,165,#d1c4a5,1965
2751,2751,D25511,1820,209,201,175,#d1c9af,1980
2422,2422,D25175,1820,210,198,182,#d2c6b6,1995
2661,2661,D25416,1820,210,202,181,#d2cab5,2010
1660,1660,D17194,1820,210,206,192,#d2cec0,2025
2485,2485,D25238,1820,211,192,163,#d3c0a3,2040
2652,2652,D25407,1820,211,195,155,#d3c39b,2055
2444,2444,D25197,1820,211,196,178,#d3c4b2,2070
2568,2568,D25323,1820,211,199,171,#d3c7ab,2085
2639,2639,D25394,1820,211,199,175,#d3c7af,2100
2443,2443,D25196,1820,211,200,178,#d3c8b2,2115
2447,2447,D25200,1820,211,202,170,#d3caaa,2130
2570,2570,D25325,1820,211,202,179,#d3cab3,2145
2734,2734,D25493,1820,212,194,169,#d4c2a9,2160
2495,2495,D25248,1820,212,202,169,#d4caa9,2175
2516,2516,D25269,1820,212,202,181,#d4cab5,2190
2659,2659,D25414,1820,212,202,184,#d4cab8,2205
2569,2569,D25324,1820,212,208,189,#d4d0bd,2220
1642,1642,D17176,1820,213,184,154,#d5b89a,2235
2680,2680,D25435,1820,213,194,153,#d5c299,2250
2648,2648,D25403,1820,213,199,164,#d5c7a4,2265
2547,2547,D25301,1820,213,199,171,#d5c7ab,2280
2664,2664,D25419,1820,213,199,178,#d5c7b2,2295
2631,2631,D25386,1820,213,202,174,#d5caae,2310
2666,2666,D25421,1820,213,206,184,#d5ceb8,2325
5208,5208,T00972,1820,214,195,161,#d6c3a1,2340
2663,2663,D25418,1820,214,205,181,#d6cdb5,2355
2438,2438,D25191,1820,215,198,169,#d7c6a9,2370
2407,2407,D25160,1820,215,199,174,#d7c7ae,2385
2614,2614,D25369,1820,215,205,185,#d7cdb9,2400
2696,2696,D25452,1820,215,206,182,#d7ceb6,2415
2723,2723,D25482,1820,215,206,184,#d7ceb8,2430
2752,2752,D25512,1820,215,207,187,#d7cfbb,2445
2500,2500,D25253,1820,215,209,190,#d7d1be,2460
1650,1650,D17184,1820,215,210,183,#d7d2b7,2475
2481,2481,D25234,1820,215,212,199,#d7d4c7,2490
1639,1639,D17173,1820,216,197,170,#d8c5aa,2505
2571,2571,D25326,1820,216,208,184,#d8d0b8,2520
2717,2717,D25476,1820,217,202,176,#d9cab0,2535
2640,2640,D25395,1820,217,205,182,#d9cdb6,2550
2499,2499,D25252,1820,217,208,183,#d9d0b7,2565
2538,2538,D25292,1820,217,212,197,#d9d4c5,2580
