,year,accession_number,hex,value_x,hex0,hex1,hex2,value_y
80,1774,T09406,#ccb791,105,#c2ac85,#d7c39d,#856c45,60
81,1774,T09411,#d5c6ac,120,#e0d3bb,#c1b195,#d2c2a5,90
82,1774,T10170,#ddcdac,135,#e6d6b6,#b6a382,#7a694c,135
83,1774,T09407,#ddd1bb,150,#e8dec9,#b5a78d,#d0c2a8,195
84,1774,T09408,#ded1b7,165,#e1d4bb,#beb098,#cfc1a8,105
85,1774,T09409,#dfd4bd,180,#e9dfc8,#b5a78f,#7a6e5d,225
86,1774,T09526,#e1d9c7,195,#e8e0cf,#b0a694,#cac2af,210
87,1774,T09524,#e1dbce,210,#e6e0d3,#b2aa99,#c8c1b3,180
88,1774,T08936,#e4d6ba,225,#e6d9bd,#72624a,#ae9d7f,150
89,1774,T10176,#e4d8c1,240,#eadfca,#b6a486,#7e6a4b,255
90,1774,T10174,#e7dfd0,255,#e9e2d3,#a49b8d,#766d61,240
91,1774,T09413,#ece4d5,270,#ece5d5,#b3ab9a,#c9c2b0,270
92,1775,T04853,#c4a57f,15,#c1a27b,#e0d6c0,#8f6b43,15
93,1775,T04852,#c8c7bb,30,#d6d5cc,#adab97,#68664a,30
94,1776,T08231,#d4c6ae,15,#412f1f,#d7cdb8,#7d5733,15
95,1776,T00985,#d8c8b0,30,#decfb7,#7b654d,#b5a186,30
96,1777,T08141,#444336,15,#302e24,#625e4c,#e0dacc,15
97,1777,D36649,#cdbc8f,30,#dcd2ab,#d5cba0,#bea16f,30
98,1777,T08486,#ddd6c5,45,#dfd9c7,#70604a,#b3aa97,45
99,1777,T10659,#e1d1ae,60,#e8dabb,#835c38,#c2a47a,60
100,1777,T00999,#e3dec8,75,#e8e4cf,#b19e80,#81684e,75
101,1778,T08511,#504536,15,#665c49,#e2e2d1,#bfcdbe,15
102,1778,T08498,#584c3a,30,#675c47,#3b3023,#a29e87,45
103,1778,T08493,#594b38,45,#dedcc4,#655641,#afa489,435
104,1778,T08488,#5a4533,60,#b2a68d,#705a43,#3f2d20,360
105,1778,T08506,#5c4f3b,75,#6b5d45,#afa993,#3b3023,75
106,1778,T08490,#6a533b,90,#735a3e,#dedbc5,#423526,210
107,1778,T08504,#6b5942,105,#6d5b42,#e8e4d3,#a79e86,105
108,1778,T08492,#6c5c44,120,#726146,#b4a685,#e6e1cd,195
109,1778,T08502,#a8a28f,135,#a7a08c,#705f49,#e3decb,285
110,1778,T08189,#a99e89,150,#b0a590,#726955,#cac2ae,330
111,1778,T08509,#aeae9c,165,#a39d8a,#312a20,#69604c,270
112,1778,T08575,#b3a284,180,#b9a686,#726249,#3e2e1c,390
113,1778,T08505,#b8b29a,195,#6f5e48,#ada791,#e0d9c5,150
114,1778,T08489,#bbb6a2,210,#b2ad97,#6e5b43,#3d2d20,375
115,1778,T01000,#bcae8d,225,#695e48,#b4a585,#393427,60
116,1778,T09271,#bead90,240,#af9e86,#e7d8be,#7f684d,300
117,1778,T08499,#c1c9bd,255,#9caaa2,#d7d4c5,#c5d6ce,255
118,1778,T08501,#c2bba5,270,#735c43,#ad9e84,#e4dfcb,225
119,1778,T08497,#c4c4ae,285,#675c40,#b2b29c,#e3dec7,30
120,1778,T08507,#c4c4b2,300,#6f5c47,#b2a78f,#e6e0cc,135
121,1778,T08495,#c6c0a6,315,#6c5840,#b2ad92,#e7dfc8,90
122,1778,T08491,#c6c3b1,330,#b0aa93,#dad6c7,#695f4a,345
123,1778,T08500,#c8c5b1,345,#afa58e,#e0dbc6,#766349,315
124,1778,T08494,#cbc2a7,360,#725c41,#b6ad90,#ece4cf,180
125,1778,T08496,#cbcdb6,375,#6d624c,#e4e0cb,#b2af95,120
126,1778,T08503,#ccc4ae,390,#746048,#dfdbc8,#b29e80,240
127,1778,T08510,#cecebe,405,#dddaca,#b2b2a2,#665942,420
128,1778,T08508,#d0cdbe,420,#6f5e4a,#e8e2d3,#ada390,165
129,1778,T08527,#d1bca1,435,#bda283,#e1d2bb,#846447,405
130,1778,N05792,#d6d2b2,450,#e2debe,#afa687,#6f5f4a,450
131,1779,N05189,#8d775c,15,#756149,#ac9475,#3a2f22,15
132,1780,N04740,#645d57,15,#615952,#a49891,#36332e,15
133,1780,T01128,#73685d,30,#6c6252,#a29486,#1e1f2b,45
134,1780,T08578,#7d7660,45,#6b6450,#a69e82,#8b856b,30
135,1780,N05198,#a7a89a,60,#a6a79a,#d9dad1,#6a6c5b,60
136,1780,T08568,#bfb092,75,#b7a88a,#78694b,#dacab1,75
137,1780,T08515,#c1b092,90,#bfad8f,#72604a,#d1c1a4,90
138,1781,T08570,#534a3e,15,#64584a,#b6a388,#3c332a,15
139,1781,T08184,#54463b,30,#b5a28b,#655648,#3c3028,180
140,1781,T08250,#646853,45,#e3dfce,#676a54,#d2dbd2,240
141,1781,T08188,#6c5a49,60,#6f5c4b,#2e231c,#aa947b,75
142,1781,T08574,#776a5d,75,#6f6256,#e0d7c6,#ab9d8c,90
143,1781,T08556,#807e70,90,#6b695e,#a8a08d,#dfd1bb,60
144,1781,T08552,#82745f,105,#70634f,#ac9d85,#ded1ba,105
145,1781,T08147,#959b8b,120,#b3aa92,#5e7067,#8c9d8f,165
146,1781,T08557,#a59c88,135,#b1a48d,#746b5d,#dcccb3,150
147,1781,T08569,#b7ad95,150,#685f4f,#afa68f,#d2c2a6,45
148,1781,T08562,#c0b5a4,165,#bcb09f,#dacebd,#ccc0ae,225
149,1781,T08573,#c0baaa,180,#afa897,#625b4f,#e2dacb,135
150,1781,T08187,#c2b39c,195,#baab95,#e6dccb,#86745e,210
151,1781,T03367,#c4c6ba,210,#a6a192,#d4d3c6,#c7d1c9,120
152,1781,T08560,#c5b699,225,#b8a787,#6f6855,#dbcdb3,195
153,1781,T08558,#d5cdc0,240,#e8e1d5,#ada295,#736960,270
154,1781,T08559,#d5d9d1,255,#646355,#ebe8dd,#d4ddd8,30
155,1781,T08571,#d7cebf,270,#e7dfcf,#aba091,#685e54,255
156,1782,T08606,#423123,15,#392a1e,#705237,#c0996a,30
