,accession_number,year,r,g,b,hex,value
0,A00001,,56,50,43,#38322b,1
1,A00034,1794,174,139,115,#ae8b73,1
2,A00041,1800,231,236,241,#e7ecf1,1
3,A00061,1877,125,125,114,#7d7d72,1
4,A00062,1877,126,126,114,#7e7e72,1
5,A00129,,127,118,84,#7f7654,1
6,A00130,,119,109,79,#776d4f,1
7,A00168,,226,218,201,#e2dac9,1
8,A00169,,237,226,206,#ede2ce,1
9,A00170,,177,167,146,#b1a792,1
10,A00171,,68,59,46,#443b2e,1
11,A00172,,161,157,142,#a19d8e,1
12,A00173,,211,208,192,#d3d0c0,1
13,A00174,,52,51,48,#343330,1
14,A00175,,204,201,186,#ccc9ba,1
15,A00176,,150,132,107,#96846b,1
16,A00177,,192,177,152,#c0b198,1
17,A00178,,126,90,60,#7e5a3c,1
18,A00179,,150,112,78,#96704e,1
19,A00180,,149,108,72,#956c48,1
20,A00181,,138,105,76,#8a694c,1
21,A00182,,222,200,172,#dec8ac,1
22,A00183,,213,190,160,#d5bea0,1
23,A00184,,188,163,131,#bca383,1
24,A00185,,153,139,119,#998b77,1
25,A00186,,233,221,197,#e9ddc5,1
26,A00187,,241,227,203,#f1e3cb,1
27,A00188,,237,222,196,#eddec4,1
28,A00189,,219,207,186,#dbcfba,1
29,A00194,,211,193,164,#d3c1a4,1
30,A00195,,184,161,125,#b8a17d,1
31,A00202,,205,177,143,#cdb18f,1
32,A00205,,183,150,115,#b79673,1
33,A00221,,232,228,216,#e8e4d8,1
34,A00223,,227,211,183,#e3d3b7,1
35,A00225,,231,222,204,#e7decc,1
36,A00226,,234,225,210,#eae1d2,1
37,A00228,,234,226,214,#eae2d6,1
38,A00229,,226,214,195,#e2d6c3,1
39,A00244,,232,223,209,#e8dfd1,1
40,A00248,,232,223,207,#e8dfcf,1
41,A00250,,231,220,197,#e7dcc5,1
42,A00254,,233,222,199,#e9dec7,1
43,A00268,,235,231,220,#ebe7dc,1
44,A00269,,236,233,224,#ece9e0,1
45,A00270,,241,239,229,#f1efe5,1
46,A00290,,236,232,223,#ece8df,1
47,A00292,,235,230,215,#ebe6d7,1
48,A00313,,237,228,208,#ede4d0,1
49,A00335,,233,222,203,#e9decb,1
50,A00344,,229,218,201,#e5dac9,1
51,A00351,,224,213,194,#e0d5c2,1
52,A00354,,223,209,187,#dfd1bb,1
53,A00356,,232,220,200,#e8dcc8,1
54,A00360,,235,224,203,#ebe0cb,1
55,A00368,,232,219,198,#e8dbc6,1
56,A00372,,226,214,188,#e2d6bc,1
57,A00373,,237,228,206,#ede4ce,1
58,A00374,,236,227,206,#ece3ce,1
59,A00382,,235,227,208,#ebe3d0,1
60,A00388,,240,238,227,#f0eee3,1
61,A00402,,227,218,195,#e3dac3,1
62,A00409,,237,232,220,#ede8dc,1
63,A00449,,223,216,198,#dfd8c6,1
64,A00450,,223,218,202,#dfdaca,1
65,A00454,,227,219,203,#e3dbcb,1
66,A00456,,225,218,200,#e1dac8,1
67,A00458,,222,220,212,#dedcd4,1
68,A00460,,225,224,215,#e1e0d7,1
69,A00462,,216,214,204,#d8d6cc,1
70,A00465,,235,228,211,#ebe4d3,1
71,A00468,,224,216,202,#e0d8ca,1
72,A00469,,231,222,207,#e7decf,1
73,A00470,,233,221,198,#e9ddc6,1
74,A00472,,229,220,204,#e5dccc,1
75,A00473,,231,214,188,#e7d6bc,1
76,A00474,,227,211,187,#e3d3bb,1
77,A00475,,223,211,193,#dfd3c1,1
78,A00476,,220,215,198,#dcd7c6,1
79,A00478,,221,213,200,#ddd5c8,1
80,A00479,,222,215,197,#ded7c5,1
81,A00481,,226,225,217,#e2e1d9,1
82,A00482,,226,224,215,#e2e0d7,1
83,A00483,,228,220,201,#e4dcc9,1
84,A00485,,223,220,206,#dfdcce,1
85,A00487,,222,220,211,#dedcd3,1
86,A00488,,229,224,208,#e5e0d0,1
87,A00489,,227,222,206,#e3dece,1
88,A00490,,226,225,216,#e2e1d8,1
89,A00492,,218,212,195,#dad4c3,1
90,A00494,,213,213,202,#d5d5ca,1
91,A00495,,222,221,212,#deddd4,1
92,A00496,,219,213,196,#dbd5c4,1
93,A00497,,208,203,192,#d0cbc0,1
94,A00498,,224,218,203,#e0dacb,1
95,A00499,,224,221,208,#e0ddd0,1
96,A00502,,221,222,214,#ddded6,1
97,A00503,,225,216,196,#e1d8c4,1
98,A00504,,225,222,209,#e1ded1,1
99,A00506,,230,226,211,#e6e2d3,1
100,A00508,,230,228,219,#e6e4db,1
101,A00510,,226,226,218,#e2e2da,1
102,A00511,,223,220,206,#dfdcce,1
103,A00512,,228,218,204,#e4dacc,1
104,A00513,,224,222,213,#e0ded5,1
105,A00515,,228,228,220,#e4e4dc,1
106,A00516,,222,220,211,#dedcd3,1
107,A00518,,220,216,205,#dcd8cd,1
108,A00519,,222,219,208,#dedbd0,1
109,A00521,,207,191,165,#cfbfa5,1
110,A00529,,182,179,172,#b6b3ac,1
111,A00531,,232,230,219,#e8e6db,1
112,A00544,,226,195,149,#e2c395,1
113,A00546,,226,194,149,#e2c295,1
114,A00556,,160,152,141,#a0988d,1
115,A00557,,231,228,214,#e7e4d6,1
116,A00559,,227,223,209,#e3dfd1,1
117,A00561,,65,41,25,#412919,1
118,A00562,,54,41,34,#362922,1
119,A00563,,66,55,46,#42372e,1
120,A00564,,47,46,42,#2f2e2a,1
121,A00565,,221,212,193,#ddd4c1,1
122,A00566,,200,176,147,#c8b093,1
123,A00567,,223,218,203,#dfdacb,1
124,A00568,,231,228,215,#e7e4d7,1
125,A00569,,234,231,218,#eae7da,1
126,A00570,,229,225,207,#e5e1cf,1
127,A00571,,227,228,215,#e3e4d7,1
128,A00572,,62,42,42,#3e2a2a,1
129,A00573,,190,165,130,#bea582,1
130,A00574,,203,197,177,#cbc5b1,1
131,A00575,,152,153,144,#989990,1
132,A00576,,229,218,196,#e5dac4,1
133,A00577,,230,218,195,#e6dac3,1
134,A00578,,207,188,158,#cfbc9e,1
135,A00579,,194,172,143,#c2ac8f,1
136,A00580,,190,184,175,#beb8af,1
137,A00581,,213,197,169,#d5c5a9,1
138,A00582,,164,154,142,#a49a8e,1
139,A00584,,123,112,100,#7b7064,1
140,A00586,,196,209,209,#c4d1d1,1
141,A00587,,219,221,204,#dbddcc,1
142,A00588,,137,145,136,#899188,1
143,A00590,,219,208,175,#dbd0af,1
144,A00591,,213,199,174,#d5c7ae,1
145,A00592,,156,147,137,#9c9389,1
146,A00593,,236,227,209,#ece3d1,1
147,A00594,,104,74,52,#684a34,1
148,A00595,,178,144,104,#b29068,1
149,A00596,,109,84,62,#6d543e,1
150,A00599,,181,158,128,#b59e80,1
151,A00600,,181,147,113,#b59371,1
152,A00601,,64,44,30,#402c1e,1
153,A00605,,221,212,195,#ddd4c3,1
154,A00607,,202,163,115,#caa373,1
155,A00619,,225,218,202,#e1daca,1
156,A00623,,224,217,203,#e0d9cb,1
157,A00625,,230,226,214,#e6e2d6,1
158,A00626,,227,221,212,#e3ddd4,1
159,A00637,,230,224,208,#e6e0d0,1
160,A00639,,229,224,211,#e5e0d3,1
161,A00640,,233,230,216,#e9e6d8,1
162,A00646,,227,223,208,#e3dfd0,1
163,A00647,,233,223,203,#e9dfcb,1
164,A00650,,217,210,189,#d9d2bd,1
165,A00654,,231,204,162,#e7cca2,1
166,A00655,,202,209,194,#cad1c2,1
167,A00658,,211,218,202,#d3daca,1
168,A00659,,210,215,199,#d2d7c7,1
169,A00661,,211,217,201,#d3d9c9,1
170,A00665,,214,201,183,#d6c9b7,1
171,A00666,,216,220,204,#d8dccc,1
172,A00668,,218,207,187,#dacfbb,1
173,A00670,,207,191,171,#cfbfab,1
174,A00671,,211,215,199,#d3d7c7,1
175,A00673,,207,186,156,#cfba9c,1
176,A00675,,228,221,203,#e4ddcb,1
177,A00680,,201,188,166,#c9bca6,1
178,A00681,,147,143,136,#938f88,1
179,A00682,,204,205,189,#cccdbd,1
180,A00683,,185,165,144,#b9a590,1
181,A00684,,197,194,175,#c5c2af,1
182,A00685,,234,228,214,#eae4d6,1
183,A00686,,231,207,163,#e7cfa3,1
184,A00687,,209,201,190,#d1c9be,1
185,A00689,,164,155,144,#a49b90,1
186,A00690,,121,137,140,#79898c,1
187,A00692,,132,125,114,#847d72,1
188,A00693,,215,201,180,#d7c9b4,1
189,A00694,,216,201,176,#d8c9b0,1
190,A00695,,182,174,165,#b6aea5,1
191,A00696,,111,85,63,#6f553f,1
192,A00697,,135,93,62,#875d3e,1
193,A00698,,90,80,68,#5a5044,1
194,A00699,,74,69,62,#4a453e,1
195,A00817,,218,208,186,#dad0ba,1
196,A00819,,148,131,110,#94836e,1
197,A00820,,187,172,156,#bbac9c,1
198,A00838,1825,230,226,208,#e6e2d0,1
199,A00842,1858,115,92,59,#735c3b,1
200,A00843,1858,67,54,42,#43362a,1
201,A00844,1858,49,36,30,#31241e,1
202,A00846,1849,195,193,177,#c3c1b1,1
203,A00867,1806,196,187,161,#c4bba1,1
204,A00871,1806,194,170,127,#c2aa7f,1
205,A00879,1858,213,202,184,#d5cab8,1
206,A00880,1858,89,79,66,#594f42,1
207,A00881,1858,224,211,187,#e0d3bb,1
208,A00882,1858,84,77,67,#544d43,1
209,A00883,1858,95,81,71,#5f5147,1
210,A00884,1858,95,91,83,#5f5b53,1
211,A00885,1858,90,85,79,#5a554f,1
212,A00886,1858,83,70,61,#53463d,1
213,A00887,1858,226,217,198,#e2d9c6,1
214,A00888,1858,85,75,67,#554b43,1
215,A00889,1858,226,217,200,#e2d9c8,1
216,A00890,1858,217,204,183,#d9ccb7,1
217,A00891,1858,223,212,193,#dfd4c1,1
218,A00892,1858,96,80,69,#605045,1
219,A00893,1858,214,201,178,#d6c9b2,1
220,A00894,1858,228,218,198,#e4dac6,1
221,A00895,1858,230,222,203,#e6decb,1
222,A00896,1858,226,215,194,#e2d7c2,1
223,A00897,1858,218,208,188,#dad0bc,1
224,A00898,1858,221,212,192,#ddd4c0,1
225,A00899,1858,218,209,190,#dad1be,1
226,A00900,1858,209,199,180,#d1c7b4,1
227,A00901,1858,226,220,203,#e2dccb,1
228,A00902,1858,223,212,193,#dfd4c1,1
229,A00903,1858,221,212,194,#ddd4c2,1
230,A00904,1858,214,205,187,#d6cdbb,1
231,A00905,1858,216,207,190,#d8cfbe,1
232,A00906,1858,220,211,194,#dcd3c2,1
233,A00907,1858,222,213,195,#ded5c3,1
234,A00908,1858,206,199,182,#cec7b6,1
235,A01016,1893,236,225,204,#ece1cc,1
236,A01018,1863,65,53,39,#413527,1
237,A01019,1863,57,47,35,#392f23,1
238,A01020,1822,96,72,48,#604830,1
239,A01021,,219,203,169,#dbcba9,1
240,A01022,,219,199,164,#dbc7a4,1
241,A01023,,218,207,183,#dacfb7,1
242,A01024,1830,231,223,200,#e7dfc8,1
243,A01025,1833,209,196,169,#d1c4a9,1
244,A01029,1931,51,44,25,#332c19,1
245,A01030,1931,215,208,159,#d7d09f,1
246,A01031,1931,58,52,35,#3a3423,1
247,A01032,1931,54,51,37,#363325,1
248,A01033,1931,135,101,72,#876548,1
249,A01038,1916,147,142,126,#938e7e,1
250,A01039,1917,200,204,194,#c8ccc2,1
251,A01040,1916,203,186,177,#cbbab1,1
252,A01041,1916,182,165,154,#b6a59a,1
253,A01042,1916,191,167,150,#bfa796,1
254,A01043,1916,170,158,136,#aa9e88,1
255,A01044,1916,223,218,205,#dfdacd,1
256,A01045,1917,173,168,152,#ada898,1
257,A01046,1917,189,183,176,#bdb7b0,1
258,A01047,1916,169,160,139,#a9a08b,1
259,A01048,1916,220,208,183,#dcd0b7,1
260,A01049,1916,204,193,180,#ccc1b4,1
261,A01050,1917,208,195,177,#d0c3b1,1
262,A01051,1916,131,133,138,#83858a,1
263,A01052,1916,172,150,147,#ac9693,1
264,A01053,1917,220,215,197,#dcd7c5,1
265,A01054,1916,164,156,143,#a49c8f,1
266,A01055,1916,194,183,175,#c2b7af,1
267,A01056,1916,192,183,180,#c0b7b4,1
268,A01057,1916,147,164,185,#93a4b9,1
269,A01058,1916,180,164,131,#b4a483,1
270,A01060,1916,175,160,128,#afa080,1
271,A01061,1951,210,166,127,#d2a67f,1
272,A01062,1951,214,178,140,#d6b28c,1
273,A01063,1951,213,176,133,#d5b085,1
274,A01064,1900,206,203,183,#cecbb7,1
275,A01065,,206,187,153,#cebb99,1
276,A01066,,202,178,145,#cab291,1
277,A01067,1899,216,204,175,#d8ccaf,1
278,A01068,,206,185,148,#ceb994,1
279,A01070,,230,224,206,#e6e0ce,1
280,A01071,,210,204,184,#d2ccb8,1
281,A01072,1902,230,217,195,#e6d9c3,1
282,A01073,,225,208,172,#e1d0ac,1
283,A01089,1902,207,188,158,#cfbc9e,1
284,A01090,1902,184,169,148,#b8a994,1
285,A01091,1902,135,133,114,#878572,1
286,A01092,1902,154,140,121,#9a8c79,1
287,A01093,1902,201,177,150,#c9b196,1
288,A01094,1902,191,173,150,#bfad96,1
289,A01095,1902,153,125,99,#997d63,1
290,A01096,1902,156,137,121,#9c8979,1
291,A01097,1902,213,192,173,#d5c0ad,1
292,A01098,1902,197,179,158,#c5b39e,1
293,A01099,1902,178,164,146,#b2a492,1
294,A01100,1902,181,165,145,#b5a591,1
295,A01101,1902,185,179,164,#b9b3a4,1
296,A01102,1902,206,179,152,#ceb398,1
297,A01103,1902,198,174,151,#c6ae97,1
298,A01104,1902,186,163,136,#baa388,1
299,A01105,1902,192,167,138,#c0a78a,1
300,A01106,1902,159,132,98,#9f8462,1
301,A01107,1902,187,177,159,#bbb19f,1
302,A01108,1902,124,98,89,#7c6259,1
303,A01109,1902,188,166,149,#bca695,1
304,A01110,1902,186,145,139,#ba918b,1
305,A01169,1863,207,193,167,#cfc1a7,1
306,A01170,1861,213,205,181,#d5cdb5,1
307,A01171,1861,160,144,115,#a09073,1
308,A01172,1861,197,185,160,#c5b9a0,1
309,A01174,,208,205,188,#d0cdbc,1
310,A01192,,180,177,151,#b4b197,1
311,A01193,,188,179,157,#bcb39d,1
312,A01197,,35,34,34,#232222,1
313,A01198,,210,206,188,#d2cebc,1
314,A01200,,42,42,38,#2a2a26,1
315,A01206,,220,207,182,#dccfb6,1
316,A01209,,33,33,33,#212121,1
317,A01211,,35,32,29,#23201d,1
318,A01219,,49,46,42,#312e2a,1
319,A01220,,179,182,173,#b3b6ad,1
320,A01222,,231,218,194,#e7dac2,1
321,A01231,,246,240,222,#f6f0de,1
322,A01234,,234,231,213,#eae7d5,1
323,A01237,,248,243,225,#f8f3e1,1
324,A01239,,236,228,208,#ece4d0,1
325,A01242,,59,59,56,#3b3b38,1
326,A01243,,87,78,68,#574e44,1
327,A01244,,231,221,197,#e7ddc5,1
328,A01245,,190,183,157,#beb79d,1
329,A01246,,230,222,203,#e6decb,1
330,A01255,,237,229,209,#ede5d1,1
331,A01259,,89,55,48,#593730,1
332,A01260,,235,234,223,#ebeadf,1
333,A01262,,221,204,175,#ddccaf,1
334,A01266,,170,160,137,#aaa089,1
335,A01267,,238,235,219,#eeebdb,1
336,A01268,,97,71,52,#614734,1
337,A01271,,191,169,140,#bfa98c,1
338,A01273,,195,170,129,#c3aa81,1
339,A01277,,238,235,220,#eeebdc,1
340,A01279,,216,204,175,#d8ccaf,1
341,A01280,,195,192,166,#c3c0a6,1
342,A01281,,191,188,163,#bfbca3,1
343,A01283,,237,233,216,#ede9d8,1
344,A01284,,45,44,43,#2d2c2b,1
345,A01286,,44,43,42,#2c2b2a,1
346,A01293,,238,233,215,#eee9d7,1
347,A01294,,233,224,202,#e9e0ca,1
348,A01295,,43,43,42,#2b2b2a,1
349,A01303,,53,52,52,#353434,1
350,A01304,,243,229,201,#f3e5c9,1
351,A01307,,224,210,184,#e0d2b8,1
352,A01311,,174,179,171,#aeb3ab,1
353,A01313,,42,40,39,#2a2827,1
354,A01324,,59,51,46,#3b332e,1
355,A01326,,58,56,50,#3a3832,1
356,A01339,,190,165,135,#bea587,1
357,A01342,,57,47,44,#392f2c,1
358,A01346,,183,184,169,#b7b8a9,1
359,A01350,,230,220,198,#e6dcc6,1
360,A01351,,165,168,159,#a5a89f,1
361,A01352,,233,223,201,#e9dfc9,1
362,A01356,,50,42,38,#322a26,1
363,A01360,,221,213,193,#ddd5c1,1
364,A01369,,226,219,201,#e2dbc9,1
365,A01370,,228,220,198,#e4dcc6,1
366,A01372,,143,136,124,#8f887c,1
367,A01373,,236,229,211,#ece5d3,1
368,A01379,,72,64,57,#484039,1
369,A01381,,241,236,217,#f1ecd9,1
370,A01389,,241,238,222,#f1eede,1
371,A01391,,228,219,192,#e4dbc0,1
372,A01392,,226,214,188,#e2d6bc,1
373,A01396,,227,217,190,#e3d9be,1
374,A01398,,233,229,210,#e9e5d2,1
375,A01400,,231,221,192,#e7ddc0,1
376,A01401,,205,201,181,#cdc9b5,1
377,A01403,,205,183,151,#cdb797,1
378,A01407,,201,171,127,#c9ab7f,1
379,A01410,,229,220,197,#e5dcc5,1
380,A01412,,194,170,138,#c2aa8a,1
381,A01414,,235,230,214,#ebe6d6,1
382,A01416,,92,63,49,#5c3f31,1
383,A01421,,241,238,223,#f1eedf,1
384,A01422,,242,238,223,#f2eedf,1
385,A01424,,140,155,153,#8c9b99,1
386,A01429,,216,203,182,#d8cbb6,1
387,A01431,,241,236,221,#f1ecdd,1
388,A01432,,244,236,216,#f4ecd8,1
389,A01433,,239,236,219,#efecdb,1
390,A01436,,237,233,218,#ede9da,1
391,A01438,,221,212,190,#ddd4be,1
392,A01439,,221,213,192,#ddd5c0,1
393,A01441,,238,234,221,#eeeadd,1
394,A01442,,235,232,218,#ebe8da,1
395,A01443,,221,200,167,#ddc8a7,1
396,A01449,,53,53,53,#353535,1
397,A01451,,231,220,198,#e7dcc6,1
398,A01454,,238,234,219,#eeeadb,1
399,A01455,,229,225,208,#e5e1d0,1
400,A01456,,220,216,200,#dcd8c8,1
401,A01457,,224,219,202,#e0dbca,1
402,A01458,,154,168,165,#9aa8a5,1
403,A01459,,237,232,218,#ede8da,1
404,A01466,,229,223,203,#e5dfcb,1
405,A01467,,56,52,50,#383432,1
406,A01468,,54,56,53,#363835,1
407,A01473,,226,220,200,#e2dcc8,1
408,A01474,,223,213,186,#dfd5ba,1
409,A01475,,241,237,219,#f1eddb,1
410,A01477,,205,185,151,#cdb997,1
411,A01489,,41,41,40,#292928,1
412,A01491,,36,37,34,#242522,1
413,A01492,,232,230,215,#e8e6d7,1
414,A01494,,28,31,29,#1c1f1d,1
415,A01495,,35,34,33,#232221,1
416,A01503,,179,151,114,#b39772,1
417,A01506,,220,217,205,#dcd9cd,1
418,A01508,,41,42,41,#292a29,1
419,A01512,,31,34,30,#1f221e,1
420,A01516,,40,40,40,#282828,1
421,A01517,,40,38,39,#282627,1
422,A01518,,38,35,35,#262323,1
423,A01520,,48,45,43,#302d2b,1
424,A01521,,47,46,45,#2f2e2d,1
425,A01522,,42,41,40,#2a2928,1
426,A01523,,50,51,47,#32332f,1
427,A01525,,47,44,38,#2f2c26,1
428,A01526,,41,37,33,#292521,1
429,A01527,,38,36,34,#262422,1
430,A01529,,221,216,199,#ddd8c7,1
431,A01530,,234,229,215,#eae5d7,1
432,A01532,,42,35,33,#2a2321,1
433,A01533,,220,216,200,#dcd8c8,1
434,A01534,,207,204,186,#cfccba,1
435,A01535,,46,42,38,#2e2a26,1
436,A01537,,132,138,121,#848a79,1
437,A01538,,218,210,187,#dad2bb,1
438,A01539,,38,34,31,#26221f,1
439,A01540,,208,199,177,#d0c7b1,1
440,A01541,,43,42,38,#2b2a26,1
441,A01543,,32,34,33,#202221,1
442,A01544,,36,34,33,#242221,1
443,A01546,,44,45,46,#2c2d2e,1
444,A01547,,57,53,49,#393531,1
445,A01548,,236,231,213,#ece7d5,1
446,A01549,,228,225,211,#e4e1d3,1
447,A01550,,231,229,214,#e7e5d6,1
448,A01551,,224,222,205,#e0decd,1
449,A01552,,43,44,45,#2b2c2d,1
450,A01553,,53,51,47,#35332f,1
451,A01554,,43,43,43,#2b2b2b,1
452,A01556,,228,224,206,#e4e0ce,1
453,A01559,,42,40,37,#2a2825,1
454,A01560,,48,44,42,#302c2a,1
455,A01562,,43,43,42,#2b2b2a,1
456,A01565,,60,73,81,#3c4951,1
457,A01566,,59,56,50,#3b3832,1
458,A01568,,46,46,45,#2e2e2d,1
459,A01569,,49,49,49,#313131,1
460,A01570,,54,51,45,#36332d,1
461,A01571,,248,247,235,#f8f7eb,1
462,A01573,,43,41,39,#2b2927,1
463,A01575,,229,223,205,#e5dfcd,1
464,A01576,,230,228,211,#e6e4d3,1
465,A01577,,230,228,213,#e6e4d5,1
466,A01579,,45,42,39,#2d2a27,1
467,A01581,,183,153,116,#b79974,1
468,A01583,,233,228,208,#e9e4d0,1
469,A01584,,46,46,45,#2e2e2d,1
470,A01586,,226,219,198,#e2dbc6,1
471,A01589,,65,57,53,#413935,1
472,A01592,,244,234,205,#f4eacd,1
473,A01594,,64,57,54,#403936,1
474,A01596,,216,208,183,#d8d0b7,1
475,A01599,,43,42,40,#2b2a28,1
476,A01600,,46,47,44,#2e2f2c,1
477,A01601,,105,81,56,#695138,1
478,A01603,,39,42,41,#272a29,1
479,A01604,,44,45,44,#2c2d2c,1
480,A01605,,238,232,216,#eee8d8,1
481,A01606,,236,231,215,#ece7d7,1
482,A01607,,244,239,223,#f4efdf,1
483,A01609,,228,225,206,#e4e1ce,1
484,A01610,,50,56,58,#32383a,1
485,A01611,,55,55,53,#373735,1
486,A01612,,61,58,54,#3d3a36,1
487,A01613,,50,51,49,#323331,1
488,A01614,,55,60,64,#373c40,1
489,A01616,,44,45,44,#2c2d2c,1
490,A01620,,47,47,45,#2f2f2d,1
491,A01626,,165,183,179,#a5b7b3,1
492,A01630,,232,220,194,#e8dcc2,1
493,A01631,,189,163,129,#bda381,1
494,A01632,,246,242,223,#f6f2df,1
495,A01636,,232,223,198,#e8dfc6,1
496,A01637,,47,47,46,#2f2f2e,1
497,A01639,,233,226,200,#e9e2c8,1
498,A01640,,46,46,44,#2e2e2c,1
499,A01641,,67,59,54,#433b36,1
500,A01643,,218,214,195,#dad6c3,1
501,A01645,,54,56,56,#363838,1
502,A01646,,56,57,56,#383938,1
503,A01648,,237,232,214,#ede8d6,1
504,A01650,,227,224,207,#e3e0cf,1
505,A01651,,175,156,125,#af9c7d,1
506,A01652,,240,237,218,#f0edda,1
507,A01653,,233,226,203,#e9e2cb,1
508,A01654,,48,48,46,#30302e,1
509,A01655,,242,236,215,#f2ecd7,1
510,A01657,,240,236,219,#f0ecdb,1
511,A01659,,231,222,195,#e7dec3,1
512,A01660,,233,224,198,#e9e0c6,1
513,A01662,,244,241,224,#f4f1e0,1
514,A01664,,163,166,148,#a3a694,1
515,A01666,,136,118,92,#88765c,1
516,A01670,,215,201,174,#d7c9ae,1
517,A01671,,214,206,184,#d6ceb8,1
518,A01672,,206,188,158,#cebc9e,1
519,A01675,,218,204,177,#daccb1,1
520,A01677,,186,170,144,#baaa90,1
521,A01683,,170,162,143,#aaa28f,1
522,A01684,,231,229,212,#e7e5d4,1
523,A01685,,233,225,207,#e9e1cf,1
524,A01687,,219,212,194,#dbd4c2,1
525,A01688,,213,202,178,#d5cab2,1
526,A01689,,210,194,165,#d2c2a5,1
527,A01690,,44,50,52,#2c3234,1
528,A01692,,231,227,209,#e7e3d1,1
529,A01695,,221,215,196,#ddd7c4,1
530,A01697,,206,193,169,#cec1a9,1
531,A01698,,219,208,185,#dbd0b9,1
532,A01699,,173,159,134,#ad9f86,1
533,A01700,,46,45,40,#2e2d28,1
534,A01701,,158,142,116,#9e8e74,1
535,A01702,,155,131,106,#9b836a,1
536,A01704,,227,219,197,#e3dbc5,1
537,A01705,,230,225,207,#e6e1cf,1
538,A01706,,229,222,201,#e5dec9,1
539,A01708,,218,206,181,#daceb5,1
540,A01709,,227,222,204,#e3decc,1
541,A01711,,208,198,170,#d0c6aa,1
542,A01715,,228,224,206,#e4e0ce,1
543,A01717,,128,141,136,#808d88,1
544,A01718,,222,214,195,#ded6c3,1
545,A01721,,225,217,197,#e1d9c5,1
546,A01722,,39,40,39,#272827,1
547,A01723,,206,198,175,#cec6af,1
548,A01729,,38,37,36,#262524,1
549,A01732,,204,191,166,#ccbfa6,1
550,AR00095,1949,171,164,145,#aba491,1
551,AR00097,1952,221,215,182,#ddd7b6,1
552,AR00098,1952,197,193,181,#c5c1b5,1
553,AR00101,1954,188,179,139,#bcb38b,1
554,AR00102,1954,212,203,185,#d4cbb9,1
555,AR00103,1955,196,173,127,#c4ad7f,1
556,AR00105,1958,193,181,146,#c1b592,1
557,AR00107,1958,180,166,139,#b4a68b,1
558,AR00112,1959,227,219,199,#e3dbc7,1
559,AR00114,1959,211,203,185,#d3cbb9,1
560,AR00123,1965,166,126,58,#a67e3a,1
561,AR00181,1979,225,222,218,#e1deda,1
562,AR00629,1946,188,181,167,#bcb5a7,1
563,AR00631,1953,211,203,197,#d3cbc5,1
564,AR00632,1954,195,192,180,#c3c0b4,1
565,AR00633,1954,231,224,197,#e7e0c5,1
566,AR00635,1954,210,204,194,#d2ccc2,1
567,AR00636,1954,208,203,184,#d0cbb8,1
568,AR00637,1956,188,163,118,#bca376,1
569,AR00641,1958,200,179,137,#c8b389,1
570,AR00649,1961,222,215,190,#ded7be,1
571,AR00655,1962,180,153,101,#b49965,1
572,D00001,1787,229,226,209,#e5e2d1,1
573,D00002,1787,189,188,167,#bdbca7,1
574,D00003,1787,185,183,158,#b9b79e,1
575,D00005,1791,176,159,123,#b09f7b,1
576,D00012,1789,246,239,221,#f6efdd,1
577,D00013,1789,245,238,219,#f5eedb,1
578,D00014,1789,222,213,189,#ded5bd,1
579,D00017,1789,245,238,221,#f5eedd,1
580,D00018,1789,36,36,33,#242421,1
581,D00019,1789,232,226,207,#e8e2cf,1
582,D00026,1789,241,235,216,#f1ebd8,1
583,D00031,1789,232,224,205,#e8e0cd,1
584,D00039,1789,241,236,219,#f1ecdb,1
585,D00042,1789,140,127,104,#8c7f68,1
586,D00046,1789,206,200,176,#cec8b0,1
587,D00047,1787,223,220,203,#dfdccb,1
588,D00048,1789,179,170,137,#b3aa89,1
589,D00049,1789,170,161,129,#aaa181,1
590,D00054,1792,115,100,82,#736452,1
591,D00055,1791,129,113,92,#81715c,1
592,D00057,1792,147,128,103,#938067,1
593,D00061,1792,196,190,168,#c4bea8,1
594,D00067,1793,102,90,74,#665a4a,1
595,D00069,1791,158,140,119,#9e8c77,1
596,D00074,1791,41,41,40,#292928,1
597,D00079,1791,42,43,42,#2a2b2a,1
598,D00080,1791,44,44,44,#2c2c2c,1
599,D00081,1791,204,195,178,#ccc3b2,1
600,D00082,1791,229,221,203,#e5ddcb,1
601,D00083,1791,39,39,39,#272727,1
602,D00086,1791,156,148,126,#9c947e,1
603,D00087,1791,46,45,42,#2e2d2a,1
604,D00088,1791,40,40,39,#282827,1
605,D00096,1791,68,67,53,#444335,1
606,D00097,1791,45,44,39,#2d2c27,1
607,D00102,1791,40,39,39,#282727,1
608,D00105,1791,189,179,151,#bdb397,1
609,D00106,1791,225,209,178,#e1d1b2,1
610,D00107,1791,90,89,77,#5a594d,1
611,D00108,1791,154,149,129,#9a9581,1
612,D00109,1791,143,139,113,#8f8b71,1
613,D00110,1791,99,84,64,#635440,1
614,D00111,1791,79,74,55,#4f4a37,1
615,D00112,1791,92,81,59,#5c513b,1
616,D00113,1791,195,183,152,#c3b798,1
617,D00114,1791,109,114,94,#6d725e,1
618,D00115,1790,187,175,142,#bbaf8e,1
619,D00121,1792,151,138,110,#978a6e,1
620,D00122,1792,127,102,82,#7f6652,1
621,D00140,1792,194,189,167,#c2bda7,1
622,D00144,1792,175,163,129,#afa381,1
623,D00145,1792,163,154,129,#a39a81,1
