,accession_number,year,r,g,b
738,D00869,1795,201,190,164
739,D00870,1797,139,120,97
740,D00871,,198,187,162
741,D00872,1798,64,62,46
742,D00873,1797,85,68,50
743,D00874,1798,167,156,126
744,D00875,1798,88,81,61
745,D00876,1797,171,160,133
746,D00877,1798,180,167,137
747,D00878,1799,111,91,65
748,D00879,1798,184,172,145
749,D00881,1796,98,83,64
750,D00882,1796,153,136,108
751,D00883,1796,101,85,62
752,D00884,1796,164,151,123
753,D00885,1796,58,56,43
754,D00886,1796,151,136,105
755,D00888,1796,133,128,104
756,D00889,1796,140,125,95
757,D00890,1797,89,77,63
758,D00891,1797,155,141,116
759,D00892,1794,83,75,59
760,D00893,1796,193,185,163
761,D00894,1796,178,175,153
762,D00895,1798,182,183,159
763,D00896,1790,156,139,105
764,D00897,1795,118,108,83
765,D00900,1798,202,186,157
766,D00901,1798,190,172,141
767,D00902,1796,144,142,127
768,D00903,1796,141,125,95
769,D00904,1796,152,148,124
770,D00905,,165,153,135
771,D00916,1797,22,21,19
772,D00954,1797,62,51,35
