,id,name,artwork_count,gender,artistId,thumbnailUrl
40,42,"Borseller, Peter",1,Male,42,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/4f32a9734d41c778fe6e51b9334c4f0b
41,43,"Bough, Samuel",1,Male,43,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1120bd054fb29e7c860d9029d293c15e
42,44,"Boughton, George Henry",1,Male,44,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c145c280b6f8982e38e7ee879c3193a0
43,45,"Bower, Edward",1,Male,45,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1094e317d787a4708c6fde57c7e38441
44,46,"Bowler, Henry Alexander",1,Male,46,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/716a7caabfb8c6cf0204bfd1bf0b4398
45,47,"Boxall, Sir William",1,Male,47,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/cef25ed2159271a35f2f7bd81a9d8760
46,48,"Boyce, George Price",7,Male,48,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/807434d932323a7b2afd76e2b37e9446
47,49,"Boys, Thomas Shotter",1,Male,49,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9086bad4d1cc89482bf3a094677456bc
48,50,"Brabazon, Hercules Brabazon",28,Male,50,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0e83ed7b824c536f3a7d11a3ba2a267c
49,51,"Bramley, Frank",2,Male,51,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/1bc7e552b32a897636f6c4ac70df96ab
50,52,"Branwhite, Nathan",1,Male,52,
51,53,"Brett, John",5,Male,53,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6ec5bc7c086b1f009081eda278e3c79a
52,54,"Bridell, Frederick Lee",1,Male,54,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/510a0b6ed5dc0b307c02b070e00912a9
53,55,"Briggs, Henry Perronet",3,Male,55,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/ac55434e13bcf5401f15dd678f789be5
54,56,British School 16th century,4,,56,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/dbc644726689423e59b5cab3414e2d86
55,57,British School 17th century,23,,57,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/a6f6f013d5278efce34c6c4fbdf0f656
56,58,British School 17th or 18th century,1,,58,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/733cbc0c8f9dddb02964d07bfb3eda15
57,59,British School 18th century,83,,59,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/45e79da9041490e44fca0dc08786b165
58,60,British School 19th century,49,,60,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e6372bd0fea3b982ee97fcf9495d89ba
59,61,British (?) School 19th century,2,,61,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/180779ca96127786113ed463ad3707c7
60,62,"Brock, Sir Thomas",5,Male,62,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/56daa0218dca4e811d14a9d66090a6ea
61,63,"Brooke, William Henry",1,Male,63,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/c0dad024ab53fc30116bef3b3947b81a
62,64,"Brooking, Charles",3,Male,64,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/686f53daf5ef327b10d85552946e61bd
63,65,"Brown, Ford Madox",39,Male,65,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/600eb2f98f11b4617115b06d75f8d75b
64,66,"Brown, Frederick",3,Male,66,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/e35a6f40819988efb9f670f1a7dc9d94
65,67,"Brown, Kellock",1,Male,67,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f9593c1625b09987b6427297a10b2ba9
66,68,"Burne-Jones, Sir Edward Coley, Bt",138,Male,68,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/96964f0f8b91d02ea8d048b9847c2538
67,69,"Burnet, James",2,Male,69,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/d0edf6604d4c8c5c3411a085c4fa5141
